id,site_id,title,seller_id,category_id,official_store_id,price,base_price,original_price,currency_id,initial_quantity,buying_mode,listing_type_id,condition
MLA914385329,MLA,Chromecast With Google Tv Control Voz 4k 2gb Ram Hdmi Wifi,86898163,MLA352001,,92899.0,92899.0,0.0,ARS,1599,buy_it_now,gold_special,new
MLA1113470749,MLA,Google Chromecast  3 Full Hd Media Streaming Negro Carbón,1002842391,MLA352001,,60999.0,60999.0,0.0,ARS,438,buy_it_now,gold_special,new
MLA1113438254,MLA,Google Chromecast 3 Full Hd Media Streaming Negro Carbón,1002842391,MLA352001,,75999.0,75999.0,0.0,ARS,299,buy_it_now,gold_pro,new
MLA770888815,MLA,Google Chromecast 3 Generacion Smart Tv Netflix Original,82274172,MLA352001,,56899.0,56899.0,0.0,ARS,1773,buy_it_now,gold_special,new
MLA1277635992,MLA,Google Chromecast Hd Con Google Tv Y C Remoto,155107410,MLA352001,,78900.0,78900.0,0.0,ARS,703,buy_it_now,gold_special,new
MLA1411577619,MLA,Xiaomi Mi Tv Stick Full Hd 8gb C/control Netflix - Amazon Color Negro,750653049,MLA352001,,71887.0,71887.0,0.0,ARS,14,buy_it_now,gold_special,new
MLA1681705110,MLA,Xiaomi Stick 4k Mdz-27-aa De Voz 4k 8gb Negro Con 2gb De Memoria Ram,750653049,MLA352001,,95300.0,95300.0,0.0,ARS,5,buy_it_now,gold_special,new
MLA1277642488,MLA,Google Chromecast Hd Con Google Tv Y C Remoto,155107410,MLA352001,,115900.0,115900.0,0.0,ARS,428,buy_it_now,gold_pro,new
MLA787935586,MLA,Google Chromecast 3 Generacion Smart Tv Hdmi Usb Nuevo Orig,2347789,MLA352001,,66000.0,66000.0,0.0,ARS,913,buy_it_now,gold_special,new
MLA885133507,MLA,Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto,9198894,MLA352001,,89319.12,89319.12,101499.0,ARS,3200,buy_it_now,gold_special,new
MLA1164049535,MLA,Tv Box Nvidia Shield Tv Pro Versión 2019 De Voz 4k 16gb Negro Con 3gb De Memoria Ram,482880972,MLA352001,,499999.0,499999.0,0.0,ARS,43,buy_it_now,gold_special,new
MLA1395085609,MLA,Google Chromecast  3 Full Hd Media Streaming Negro.,165975732,MLA352001,,80449.0,80449.0,0.0,ARS,246,buy_it_now,gold_pro,new
MLA1140062600,MLA,Xiaomi Mi Tv Stick 4k 8gb Ram 2gb Chromecast Netflix Amazon,257077964,MLA352001,,101699.0,101699.0,0.0,ARS,269,buy_it_now,gold_special,new
MLA1407676743,MLA,Google Chromecast 3 Full Hd Media Streaming Negro. Color Carbón,1002842391,MLA352001,,59999.0,59999.0,0.0,ARS,200,buy_it_now,gold_special,new
MLA1425771406,MLA,Google Chromecast 4ta Google Tv Hd 8gb Con Cargador Y Pilas,410972390,MLA352001,,79890.0,79890.0,0.0,ARS,57,buy_it_now,gold_special,new
MLA1412924445,MLA,Xiaomi Mi Tv Stick Full Hd 8gb C/control Netflix,196230127,MLA352001,,72975.0,72975.0,0.0,ARS,10,buy_it_now,gold_special,new
MLA898700662,MLA,Google Chromecast Ultra 4k Negro,309453406,MLA352001,,134990.0,134990.0,0.0,ARS,252,buy_it_now,gold_special,new
MLA1614598096,MLA,Chromecast 4 Google Tv 8gb 2gb Ram 60fps Todo Incluido,619985053,MLA352001,,84999.0,84999.0,0.0,ARS,64,buy_it_now,gold_special,new
MLA1532640728,MLA,Chromecast Google Tv Hd 8gb 2gb Ram Hdmi 4ta Gen Blanco,181300200,MLA352001,,72899.0,72899.0,0.0,ARS,66,buy_it_now,gold_special,new
MLA931340608,MLA,Google Chromecast  Con Android Tv 4k 8gb/ 2gb Ram Hdmi 220v,69526727,MLA352001,,125600.0,125600.0,0.0,ARS,405,buy_it_now,gold_pro,new
MLA1380214521,MLA,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco,255083266,MLA352001,,71000.0,71000.0,0.0,ARS,49,buy_it_now,gold_special,new
MLA746583594,MLA,Google Chromecast 3 Generacion 1080p Caja 100% Original,86898163,MLA352001,,56599.0,56599.0,0.0,ARS,2170,buy_it_now,gold_special,new
MLA1382798627,MLA,Google Chromecast Ultra 4k Negro,287054359,MLA352001,,65899.0,65899.0,0.0,ARS,69,buy_it_now,gold_special,new
MLA1411883473,MLA,Tv Stick Xiaomi Mi Full Hd Chromecast Smart Netflix Disney,514993402,MLA352001,,85999.0,85999.0,0.0,ARS,7,buy_it_now,gold_special,new
MLA914388160,MLA,Google Chromecast 4k Android Tv Control De Voz 2gb Ram,69526727,MLA352001,,92900.0,92900.0,0.0,ARS,704,buy_it_now,gold_special,new
